name_product,product_link,price_sale,price_original,discount,sold,rating,image_link,sold_numeric,sold_info
TORCH GANTUNGAN KUNCI PISAU LIPAT BLUE,https://www.tokopedia.com/torch-id/torch-gantungan-kunci-pisau-lipat-blue?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,98000,98000,Tidak Ada Diskon,90+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/30/d216f723-14ea-4d92-a6b7-251ce014ec7c.jpg,90,+ terjual
TORCH KARABINER GANTUNGAN KUNCI STAINLESS,https://www.tokopedia.com/torch-id/torch-karabiner-gantungan-kunci-stainless?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,98000,98000,Tidak Ada Diskon,80+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/30/45760cb6-971f-4ffd-b533-05f9ae85ecad.jpg,80,+ terjual
TORCH TOPI BASEBALL BASEBALL HAT CONSONANT,https://www.tokopedia.com/torch-id/torch-topi-baseball-baseball-hat-consonant?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,148000,148000,Tidak Ada Diskon,30+ terjual,4.8,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/1/7ac9908e-4aa0-4cf7-9f73-6156c9cdecbc.jpg,30,+ terjual
TORCH TOPI BASEBALL BARCODE DARK GREY,https://www.tokopedia.com/torch-id/torch-topi-baseball-barcode-dark-grey?extParam=whid%3D602001%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,148000,148000,Tidak Ada Diskon,30+ terjual,5.0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/28/b528bb74-f7e8-4852-aec7-ddbfff0630f7.jpg,30,+ terjual
TORCH SAGAN SARUNG TANGAN PENDEK BLACK GREY,https://www.tokopedia.com/torch-id/torch-sagan-sarung-tangan-pendek-black-grey?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,148000,148000,Tidak Ada Diskon,60+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/25/941c8868-6b95-4590-b6ad-2b80489c8337.jpg,60,+ terjual
TORCH SAGAN SARUNG TANGAN PENDEK BLACK BLUE,https://www.tokopedia.com/torch-id/torch-sagan-sarung-tangan-pendek-black-blue?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,148000,148000,Tidak Ada Diskon,40+ terjual,4.8,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/25/483d1cb5-ebba-47e5-adc3-b3fa42408c05.jpg,40,+ terjual
TORCH POUCH MINI POUCH MINI CASE,https://www.tokopedia.com/torch-id/torch-pouch-mini-pouch-mini-case?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,73920,88000,16%,750+ terjual,5.0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/1/f0ac72bf-9af5-4bc5-b909-f452f9ef0659.png,750,+ terjual
TORCH JAKET LIPAT WINDPROOF WINDBREAKER PACKABLE JACKET SEONHA,https://www.tokopedia.com/torch-id/torch-jaket-lipat-windproof-windbreaker-packable-jacket-seonha?extParam=whid%3D602001%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,319000,319000,Tidak Ada Diskon,100+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/7/d7a3b15b-c167-42f4-b6d8-c34a4267f7b8.jpg,100,+ terjual
TORCH JAKET WINDBREAKER WATER REPELLENT PACKABLE JACKET MINWOO,https://www.tokopedia.com/torch-id/torch-jaket-windbreaker-water-repellent-packable-jacket-minwoo?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,399000,399000,Tidak Ada Diskon,100+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/8/16/37906f0c-7258-4a8a-9685-2cb0762dfcfe.jpg,100,+ terjual
TORCH TAS SEPATU SHOE BAG SUWON,https://www.tokopedia.com/torch-id/torch-tas-sepatu-shoe-bag-suwon?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,228000,228000,Tidak Ada Diskon,22 terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/4/26/6082f623-c2b7-4652-bec1-8ce410bd632d.jpg,22,Belum Ada Penjualan
