name_product,product_link,price_sale,price_original,discount,rating,sold_numeric,sold_info
FLASH SALE TORCH KASHIBA TAS SELEMPANG TRAVEL PRIA WANITA MULTIFUNGSI,https://www.tokopedia.com/torch-id/flash-sale-torch-kashiba-tas-selempang-travel-pria-wanita-multifungsi-tosca-bb5ff?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,164340,198000,17%,5.0,30,+ terjual
FLASH SALE TORCH HWADO TAS RANSEL BACKPACK LAPTOP 14 INCH TRAVEL BAG MINI PRIA WANITA,https://www.tokopedia.com/torch-id/flash-sale-torch-hwado-tas-ransel-backpack-laptop-14-inch-travel-bag-mini-pria-wanita-legion-blue-aaa15?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,288840,348000,17%,4.9,24,Belum Ada Penjualan
FLASH SALE TORCH AICHI TAS SELEMPANG PRIA WANITA SLING TRAVEL BAG WATERPROOF,https://www.tokopedia.com/torch-id/flash-sale-torch-aichi-tas-selempang-pria-wanita-sling-travel-bag-waterproof-hitam-polos-e9485?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,164340,198000,17%,5.0,15,Belum Ada Penjualan
FLASH SALE TORCH KANZAKI TAS RANSEL BACKPACK TRAVEL PRIA WANITA WATERPROOF,https://www.tokopedia.com/torch-id/flash-sale-torch-kanzaki-tas-ransel-backpack-travel-pria-wanita-waterproof-biru-5e5ee?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,829999,999999,17%,4.9,16,Belum Ada Penjualan
TORCH HWADO TAS RANSEL BACKPACK LAPTOP 14 INCH TRAVEL BAG MINI PRIA WANITA,https://www.tokopedia.com/torch-id/torch-hwado-tas-ransel-backpack-laptop-14-inch-travel-bag-mini-pria-wanita-legion-blue-cf066?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,288840,348000,17%,4.7,7,Belum Ada Penjualan
TORCH KASHIBA TAS SELEMPANG TRAVEL PRIA WANITA MULTIFUNGSI,https://www.tokopedia.com/torch-id/torch-kashiba-tas-selempang-travel-pria-wanita-multifungsi-hijau-b6ded?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,164340,198000,17%,5.0,6,Belum Ada Penjualan
TORCH AICHI TAS SELEMPANG PRIA WANITA SLING TRAVEL BAG WATERPROOF,https://www.tokopedia.com/torch-id/torch-aichi-tas-selempang-pria-wanita-sling-travel-bag-waterproof-navy-polos-d7782?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,164340,198000,17%,5.0,14,Belum Ada Penjualan
TORCH KANZAKI TAS RANSEL BACKPACK TRAVEL PRIA WANITA WATERPROOF,https://www.tokopedia.com/torch-id/torch-kanzaki-tas-ransel-backpack-travel-pria-wanita-waterproof-biru-799a8?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,829999,999999,17%,4.5,3,Belum Ada Penjualan
TORCH GANI DOMPET KARTU LIPAT PRIA WANITA TEMPAT UANG TAHAN AIR STYLISH,https://www.tokopedia.com/torch-id/torch-gani-dompet-kartu-lipat-pria-wanita-tempat-uang-tahan-air-stylish-short-3f195?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,55200,138000,60%,5.0,9,Belum Ada Penjualan
TORCH DATM ORGANIZER TAS BAJU EXPANDABLE BAG ANTI AIR TRAVELLING STYLISH,https://www.tokopedia.com/torch-id/torch-datm-organizer-tas-baju-expandable-bag-anti-air-travelling-stylish-black-b49a6?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,163900,298000,45%,5.0,3,Belum Ada Penjualan
